Usuario|nota
61677|0.813559322
2625595|0.5762711864
6192519|0.7457627119
6671724|0.9830508475
3782990|0.7966101695000001
5758834|0.8983050847
6382031|0.813559322
4836523|0.8644067797
6441542|0.6440677965999999
6473263|0.6101694915
63073|0.7627118643999999
6527105|0.9322033898
4380642|0.8813559322
2375682|0.8813559322
6560611|0.9152542373
711454|0.7627118643999999
47337|0.5084745763
4192131|0.8983050847
5386236|0.9322033898
67383|0.8813559322
3392000|0.8305084745999999
6657766|0.8474576270999999
6289962|0.8644067797
6516343|0.5762711864
357495|0.9152542373
6392195|0.5084745763
6567210|0.7627118643999999
6531399|0.8813559322
6504324|0.813559322
6524047|0.8983050847
4415424|0.8644067797
6447390|0.6440677965999999
84470|0.9322033898
5727811|0.9152542373
244225|0.813559322
6565136|0.9491525424
3437800|0.4745762712
6699364|0.5084745763
4290551|0.8474576270999999
6703530|0.3389830508
6321595|0.7288135593
25526|0.9491525424
6299007|0.7627118643999999
6460047|0.7118644068000001
6579383|0.7796610169
4462871|1.0
6441582|0.8305084745999999
1783141|0.7796610169
6415453|0.8644067797
120032|0.813559322
3974918|0.7966101695000001
5343437|0.9491525424
6589381|0.9491525424
6410657|0.2711864407
3869317|0.8983050847
6554549|0.7966101695000001
6259192|0.6610169492
2107774|0.9661016949
6663292|0.9491525424
6520820|0.9152542373
6302384|0.8813559322
6528652|0.6779661017
6495965|0.813559322
6539168|0.7288135593
6300738|0.7457627119
6723169|0.1525423729
4791948|1.0
6564527|0.9322033898
6421367|0.7796610169
3259964|0.9491525424
6644578|0.9491525424
6399812|0.5932203389999999
6593583|0.9661016949
6212629|0.7627118643999999
4319700|0.813559322
6316038|0.9491525424
6616147|0.9322033898
151191|0.6949152542
6403915|0.9322033898
2597827|0.6610169492
3552831|0.6101694915
1320169|0.8813559322
581586|0.4406779661
6564472|0.7627118643999999
6580753|0.7288135593
6607407|1.0
6351115|0.9152542373
6532355|0.9491525424
787619|0.813559322
6461199|0.8644067797
6052850|0.7457627119
6419430|0.6949152542
6581446|0.6779661017
2711472|0.813559322
6530649|0.8305084745999999
1313160|0.5423728814
2116918|0.7118644068000001
6352885|0.7627118643999999
188778|0.7966101695000001
6215161|0.6271186441
5733122|0.9322033898
68632|0.8474576270999999
6225460|0.8305084745999999
5933378|0.5423728814
6407627|0.8644067797
6558556|0.813559322
3561257|0.6779661017
6780401|0.2542372881
53871|0.7627118643999999
6576675|0.8305084745999999
6562170|0.8644067797
1792596|0.8644067797
5520338|0.7796610169
5923423|0.6779661017
508868|0.5593220339
6590429|0.8813559322
6559559|0.8644067797
6738883|0.35593220340000004
6039741|0.5254237288
6561517|0.8474576270999999
2527369|0.8305084745999999
83153|0.9152542373
3262554|0.8813559322
56306|0.9491525424
4572424|1.0
6586052|0.6101694915
6300845|0.8983050847
376628|0.8983050847
14554|0.8644067797
6574348|0.8983050847
785360|0.9152542373
6550824|0.2881355932
6589630|0.8983050847
6843699|0.4406779661
6563954|0.7966101695000001
1990352|0.8983050847
6518589|0.8813559322
6687184|0.8813559322
2118821|0.813559322
6580918|0.5423728814
6401050|0.9322033898
6482127|0.8983050847
6118894|0.7288135593
773344|0.6271186441
6460144|0.8983050847
1159330|0.8305084745999999
6751674|0.35593220340000004
6451673|0.6949152542
6579359|0.8305084745999999
5905437|0.7966101695000001
6442986|0.7966101695000001
6580088|0.7457627119
6417223|0.8983050847
5792625|0.8305084745999999
6604998|0.8983050847
6572232|0.8983050847
6572116|0.8474576270999999
6311461|0.8305084745999999
6199192|1.0
6717341|0.9830508475
115462|0.7966101695000001
6585696|0.7288135593
6321462|0.8983050847
34206|0.7796610169
1859772|0.8305084745999999
6489163|0.7966101695000001
5922465|0.9661016949
4373766|0.7118644068000001
6570467|0.8474576270999999
6082941|0.5932203389999999
4830660|0.7627118643999999
52619|0.8305084745999999
6460014|0.9152542373
5742503|0.8813559322
6400182|0.5762711864
4681124|0.7457627119
6663077|0.7288135593
6543145|0.7966101695000001
3269310|0.7457627119
6477313|0.9322033898
6495857|0.8813559322
6303615|0.8305084745999999
6565559|0.8813559322
6466813|0.8305084745999999
6314912|0.8474576270999999
6800486|0.3050847458
6428166|0.8983050847
6475971|0.9830508475
6234407|0.7627118643999999
6435217|0.8305084745999999
5613353|0.7966101695000001
6329479|0.8474576270999999
6466460|0.8474576270999999
6245344|0.6779661017
2064806|0.8305084745999999
6520242|0.8474576270999999
5364711|0.813559322
6305027|0.6610169492
3714553|0.9491525424
3707777|0.8983050847
4689110|0.8813559322
4818524|0.7457627119
6575231|0.7627118643999999
6486979|0.8474576270999999
6283724|0.7627118643999999
6254632|0.9322033898
6406005|0.8305084745999999
6579261|0.8474576270999999
3508033|0.8644067797
6565437|0.9152542373
6528444|0.7118644068000001
6489675|0.8813559322
5474606|0.7796610169
5571169|0.813559322
2313892|0.7627118643999999
6558527|1.0
6444092|0.7627118643999999
6491536|0.8474576270999999
6403778|0.9322033898
6583644|0.8305084745999999
5976306|0.7627118643999999
6574613|0.7966101695000001
6539599|0.7457627119
6564418|0.8983050847
16901|0.9661016949
6586216|0.7796610169
2725026|0.9322033898
6626290|0.813559322
6132933|0.7796610169
6559039|0.5932203389999999
124595|0.8813559322
6576916|0.9152542373
6460302|0.7288135593
6512351|1.0
6389127|0.9830508475
6351060|0.7627118643999999
6580495|0.7966101695000001
6572311|1.0
6451221|0.7796610169
6387248|0.7966101695000001
3261823|0.8644067797
6565641|0.7627118643999999
6080369|0.4745762712
346645|0.8644067797
4864428|0.6101694915
6316364|1.0
894035|0.8983050847
3372897|0.8983050847
5507154|0.9322033898
4622419|0.1016949153
6387558|0.8474576270999999
4030968|0.8305084745999999
5883494|0.7796610169
2204117|0.5593220339
6407142|0.8644067797
6539688|0.9322033898
6243085|0.6271186441
5845584|0.7288135593
6192953|0.6610169492
39438|0.9322033898
6563140|0.9152542373
6554784|0.9152542373
5669351|0.7457627119
4009574|0.7627118643999999
6369621|0.8983050847
6433303|0.6949152542
5245267|0.9830508475
6407973|0.6271186441
6698760|0.9152542373
4685205|0.7966101695000001
3720896|0.9830508475
6329160|0.8644067797
6498144|0.8983050847
4902361|0.3050847458
331837|0.6949152542
6301362|0.7627118643999999
2352335|0.7966101695000001
6186691|0.813559322
6644596|0.4406779661
6608387|1.0
604530|0.813559322
5992936|0.6949152542
6463156|0.7118644068000001
899372|0.6949152542
6508986|0.9322033898
5949834|0.9491525424
6402323|0.8474576270999999
706870|0.8305084745999999
3746526|0.7288135593
538661|0.9491525424
1210655|0.7966101695000001
1039725|0.8813559322
6480355|0.7627118643999999
1315111|0.813559322
6409236|0.813559322
6609454|1.0
6697968|0.8983050847
6431667|0.9830508475
5937271|0.8644067797
6333447|0.6610169492
5117746|0.8305084745999999
6543078|0.9661016949
5581768|0.813559322
6576285|0.8983050847
6518046|0.3728813559
6236008|0.8644067797
5943353|0.9322033898
6520546|1.0
6519695|0.7457627119
6572724|0.5084745763
6207287|0.8983050847
6548623|0.9830508475
567378|0.9491525424
466372|0.8644067797
6191607|0.9491525424
44752|0.6610169492
6564484|0.813559322
6409496|0.9152542373
6431150|0.8474576270999999
2631141|0.3728813559
6690702|0.9830508475
6165037|0.6779661017
3759229|0.6949152542
6559121|0.9661016949
6489924|0.8813559322
5622957|0.9322033898
6559120|0.9322033898
6448142|0.7966101695000001
2625251|0.7118644068000001
6405143|0.6101694915
6020753|0.3728813559
6311725|0.6610169492
6460369|0.813559322
5961358|0.9322033898
6886993|0.6271186441
6392832|0.8644067797
6536654|0.7627118643999999
5567373|0.5932203389999999
3409445|0.7457627119
739989|0.9152542373
4647428|0.9152542373
6459137|0.6949152542
6407550|0.6101694915
6402475|0.6101694915
6621737|0.7966101695000001
6609243|1.0
6722594|0.9661016949
6733796|0.35593220340000004
6552861|0.6779661017
6643578|0.32203389829999995
6467601|0.9152542373
683323|0.7796610169
6546581|0.6779661017
3708985|0.8644067797
3005218|0.7966101695000001
6544604|0.6271186441
994113|0.8474576270999999
